60	15
3480000.0	3496000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.999999999923881e-06	9.99999999988634e-06	9.999999999872827e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
5	2	-1	1e-05	1e-05	1e-05
6	2	0	1.00000000001849e-05	9.999999999977082e-06	9.999999999702308e-06
7	2	1	1e-05	1e-05	1e-05
8	2	2	1e-05	1e-05	1e-05
9	3	-3	1e-05	1e-05	1e-05
10	3	-2	1e-05	1e-05	1e-05
11	3	-1	1e-05	1e-05	1e-05
12	3	0	1.0000000000380088e-05	1.0000000000323767e-05	1.0000000000409567e-05
13	3	1	1e-05	1e-05	1e-05
14	3	2	1e-05	1e-05	1e-05
15	3	3	1e-05	1e-05	1e-05
3496000.0	3521000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.99999999986745e-06	9.999999999868072e-06	9.999999999887511e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
5	2	-1	1e-05	1e-05	1e-05
6	2	0	1.0000000000052305e-05	1.0000000000114284e-05	1.0000000000171843e-05
7	2	1	1e-05	1e-05	1e-05
8	2	2	1e-05	1e-05	1e-05
9	3	-3	1e-05	1e-05	1e-05
10	3	-2	1e-05	1e-05	1e-05
11	3	-1	1e-05	1e-05	1e-05
12	3	0	1.0000000000358504e-05	1.0000000000360593e-05	1.0000000000347777e-05
13	3	1	1e-05	1e-05	1e-05
14	3	2	1e-05	1e-05	1e-05
15	3	3	1e-05	1e-05	1e-05
3521000.0	3546000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.999999999958903e-06	9.999999999887327e-06	9.999999999968722e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
5	2	-1	1e-05	1e-05	1e-05
6	2	0	1.0000000000267013e-05	9.999999999813211e-06	1.000000000034032e-05
7	2	1	1e-05	1e-05	1e-05
8	2	2	1e-05	1e-05	1e-05
9	3	-3	1e-05	1e-05	1e-05
10	3	-2	1e-05	1e-05	1e-05
11	3	-1	1e-05	1e-05	1e-05
12	3	0	1.0000000000302673e-05	1.0000000000391005e-05	1.0000000000330535e-05
13	3	1	1e-05	1e-05	1e-05
14	3	2	1e-05	1e-05	1e-05
15	3	3	1e-05	1e-05	1e-05
3546000.0	3571000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.999999999882306e-06	9.9999999998697e-06	9.999999999777006e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
5	2	-1	1e-05	1e-05	1e-05
6	2	0	9.999999999927019e-06	1.0000000000187607e-05	1.0000000000060193e-05
7	2	1	1e-05	1e-05	1e-05
8	2	2	1e-05	1e-05	1e-05
9	3	-3	1e-05	1e-05	1e-05
10	3	-2	1e-05	1e-05	1e-05
11	3	-1	1e-05	1e-05	1e-05
12	3	0	1.0000000000312322e-05	1.0000000000341494e-05	1.0000000000431659e-05
13	3	1	1e-05	1e-05	1e-05
14	3	2	1e-05	1e-05	1e-05
15	3	3	1e-05	1e-05	1e-05
3571000.0	3596000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.999999999928008e-06	9.999999999880678e-06	9.999999999914517e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
5	2	-1	1e-05	1e-05	1e-05
6	2	0	9.999999999853717e-06	9.999999999874386e-06	9.999999999939673e-06
7	2	1	1e-05	1e-05	1e-05
8	2	2	1e-05	1e-05	1e-05
9	3	-3	1e-05	1e-05	1e-05
10	3	-2	1e-05	1e-05	1e-05
11	3	-1	1e-05	1e-05	1e-05
12	3	0	1.000000000031874e-05	1.0000000000360086e-05	1.00000000003315e-05
13	3	1	1e-05	1e-05	1e-05
14	3	2	1e-05	1e-05	1e-05
15	3	3	1e-05	1e-05	1e-05
3596000.0	3621000.0
1	1	1	1e-05	1e-05	1e-05
2	1	0	9.999999999799974e-06	9.999999999905679e-06	9.999999999857686e-06
3	1	-1	1e-05	1e-05	1e-05
4	2	-2	1e-05	1e-05	1e-05
